Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,NASDAQ Symbol,NextShares
Y,AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",Q,G,N,100,N,N,AMRN,N
Y,AMRS,"Amyris, Inc. - Common Stock",Q,Q,N,100,N,N,AMRS,N
Y,AMSC,American Superconductor Corporation - Common Stock,Q,Q,N,100,N,N,AMSC,N
Y,AMSF,"AMERISAFE, Inc. - Common Stock",Q,Q,N,100,N,N,AMSF,N
Y,AMSWA,"American Software, Inc. - Class A Common Stock",Q,Q,N,100,N,N,AMSWA,N
Y,AMTB,Amerant Bancorp Inc. - Class A Common Stock,Q,Q,N,100,N,N,AMTB,N
Y,AMTBB,Amerant Bancorp Inc. - Class B Common Stock,Q,Q,N,100,N,N,AMTBB,N
Y,AMTD,TD Ameritrade Holding Corporation - Common Stock,Q,Q,N,100,N,N,AMTD,N
Y,AMTX,"Aemetis, Inc - Common Stock",Q,G,N,100,N,D,AMTX,N
Y,AMWD,American Woodmark Corporation - Common Stock,Q,Q,N,100,N,N,AMWD,N
Y,AMZN,"Amazon.com, Inc. - Common Stock",Q,Q,N,100,N,N,AMZN,N
Y,ANAB,"AnaptysBio, Inc. - Common Stock",Q,Q,N,100,N,N,ANAB,N
Y,ANAT,American National Insurance Company - Common Stock,Q,Q,N,100,N,N,ANAT,N
Y,ANCN,Anchiano Therapeutics Ltd. - American Depositary Shares,Q,S,N,100,N,N,ANCN,N
Y,ANDA,Andina Acquisition Corp. III - Ordinary Shares,Q,S,N,100,N,N,ANDA,N
Y,ANDAU,Andina Acquisition Corp. III - Unit,Q,S,N,100,N,N,ANDAU,N
Y,ANDE,"The Andersons, Inc. - Common Stock",Q,Q,N,100,N,N,ANDE,N
Y,ANGI,ANGI Homeservices Inc. - Class A Common Stock,Q,Q,N,100,N,N,ANGI,N
Y,ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,Q,G,Y,100,N,N,ANGL,N
Y,ANGO,"AngioDynamics, Inc. - Common Stock",Q,Q,N,100,N,N,ANGO,N
Y,ANIK,Anika Therapeutics Inc. - Common Stock,Q,Q,N,100,N,N,ANIK,N
Y,ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",Q,G,N,100,N,N,ANIP,N
Y,ANIX,"Anixa Biosciences, Inc. - Common Stock",Q,S,N,100,N,N,ANIX,N
Y,ANPC,"AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares",Q,G,N,100,N,N,ANPC,N
Y,ANSS,"ANSYS, Inc. - Common Stock",Q,Q,N,100,N,N,ANSS,N
Y,ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",Q,S,N,100,N,N,ANTE,N
Y,ANY,Sphere 3D Corp. - Common Shares,Q,S,N,100,N,D,ANY,N
Y,AOBC,American Outdoor Brands Corporation - Common Stock,Q,Q,N,100,N,N,AOBC,N
Y,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,Q,N,100,N,N,AOSL,N
Y,APDN,"Applied DNA Sciences, Inc. - Common Stock",Q,S,N,100,N,N,APDN,N
Y,APEI,"American Public Education, Inc. - Common Stock",Q,Q,N,100,N,N,APEI,N
Y,APEN,"Apollo Endosurgery, Inc. - Common Stock",Q,G,N,100,N,N,APEN,N
Y,APEX,Apex Global Brands Inc. - Common Stock,Q,S,N,100,N,D,APEX,N
Y,APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,APLS,N
Y,APLT,"Applied Therapeutics, Inc. - Common Stock",Q,G,N,100,N,N,APLT,N
Y,APM,Aptorum Group Limited - Class A Ordinary Shares,Q,G,N,100,N,N,APM,N
Y,APOG,"Apogee Enterprises, Inc. - Common Stock",Q,Q,N,100,N,N,APOG,N
Y,APOP,Cellect Biotechnology Ltd. - American Depositary Shares,Q,S,N,100,N,N,APOP,N
Y,APPF,"AppFolio, Inc. - Class A Common Stock",Q,G,N,100,N,N,APPF,N
Y,APPN,Appian Corporation - Class A Common Stock,Q,G,N,100,N,N,APPN,N
Y,APPS,"Digital Turbine, Inc. - Common Stock",Q,S,N,100,N,N,APPS,N
Y,APRE,"Aprea Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,N,APRE,N
Y,APTO,"Aptose Biosciences, Inc. - Common Shares",Q,S,N,100,N,N,APTO,N
Y,APTX,Aptinyx Inc. - Common Stock,Q,Q,N,100,N,N,APTX,N
Y,APVO,Aptevo Therapeutics Inc. - Common Stock,Q,S,N,100,N,D,APVO,N
Y,APWC,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share",Q,G,N,100,N,D,APWC,N
Y,APXT,Apex Technology Acquisition Corporation - Class A Common Stock,Q,S,N,100,N,N,APXT,N
Y,APXTU,Apex Technology Acquisition Corporation - Unit,Q,S,N,100,N,N,APXTU,N
Y,APYX,Apyx Medical Corporation - Common Stock,Q,Q,N,100,N,N,APYX,N
Y,AQB,"AquaBounty Technologies, Inc. - Common Stock",Q,S,N,100,N,N,AQB,N
Y,AQMS,"Aqua Metals, Inc. - Common Stock",Q,S,N,100,N,D,AQMS,N
Y,AQST,"Aquestive Therapeutics, Inc. - Common Stock",Q,G,N,100,N,N,AQST,N
Y,ARAV,"Aravive, Inc. - Common Stock",Q,Q,N,100,N,N,ARAV,N
Y,ARAY,Accuray Incorporated - Common Stock,Q,Q,N,100,N,N,ARAY,N
Y,ARCB,ArcBest Corporation - Common Stock,Q,Q,N,100,N,N,ARCB,N
Y,ARCC,Ares Capital Corporation - Closed End Fund,Q,Q,N,100,N,N,ARCC,N
Y,ARCE,Arco Platform Limited - Class A Common Shares,Q,Q,N,100,N,N,ARCE,N
Y,ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,Q,G,N,100,N,N,ARCT,N
Y,ARDS,Aridis Pharmaceuticals Inc. - Common Stock,Q,S,N,100,N,N,ARDS,N
Y,ARDX,"Ardelyx, Inc. - Common Stock",Q,G,N,100,N,N,ARDX,N
Y,AREC,American Resources Corporation - Class A Common Stock,Q,S,N,100,N,D,AREC,N
Y,ARGX,argenx SE - American Depositary Shares,Q,Q,N,100,N,N,ARGX,N
Y,ARKR,Ark Restaurants Corp. - Common Stock,Q,G,N,100,N,N,ARKR,N
Y,ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Q,Q,N,100,N,N,ARLP,N
Y,ARNA,"Arena Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,ARNA,N
Y,AROW,Arrow Financial Corporation - Common Stock,Q,Q,N,100,N,N,AROW,N
Y,ARPO,"Aerpio Pharmaceuticals, Inc. - Common Stock",Q,S,N,100,N,D,ARPO,N
Y,ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",Q,Q,N,100,N,N,ARQT,N
Y,ARTL,"Artelo Biosciences, Inc. - Common Stock",Q,S,N,100,N,N,ARTL,N
Y,ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,Q,Q,N,100,N,N,ARTNA,N
Y,ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",Q,S,N,100,N,N,ARTW,N
Y,ARVN,"Arvinas, Inc. - Common Stock",Q,Q,N,100,N,N,ARVN,N
Y,ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,ARWR,N
Y,ARYA,ARYA Sciences Acquisition Corp. - Class A Ordinary Shares,Q,S,N,100,N,D,ARYA,N
Y,ARYAU,ARYA Sciences Acquisition Corp. - Unit,Q,S,N,100,N,D,ARYAU,N
Y,ASET,FlexShares Real Assets Allocation Index Fund,Q,G,Y,100,N,N,ASET,N
Y,ASFI,"Asta Funding, Inc. - Common Stock",Q,Q,N,100,N,N,ASFI,N
Y,ASLN,ASLAN Pharmaceuticals Limited - American Depositary Shares,Q,G,N,100,N,N,ASLN,N
Y,ASMB,"Assembly Biosciences, Inc. - Common Stock",Q,Q,N,100,N,N,ASMB,N
Y,ASML,ASML Holding N.V. - New York Registry Shares,Q,Q,N,100,N,N,ASML,N
Y,ASNA,"Ascena Retail Group, Inc. - Common Stock",Q,Q,N,100,N,N,ASNA,N
Y,ASND,Ascendis Pharma A/S - American Depositary Shares,Q,Q,N,100,N,N,ASND,N
Y,ASPS,Altisource Portfolio Solutions S.A. - Common Stock,Q,Q,N,100,N,N,ASPS,N
Y,ASPU,Aspen Group Inc. - Common Stock,Q,G,N,100,N,N,ASPU,N
Y,ASRT,"Assertio Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,N,ASRT,N
Y,ASRV,AmeriServ Financial Inc. - Common Stock,Q,G,N,100,N,N,ASRV,N
Y,ASRVP,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",Q,G,N,100,N,N,ASRVP,N
